GC content,Purine ratio,Shannon H (k=1),Shannon H (k=3),Pi-stacking,GQS density,Struct. density,RC self-match,Scaffolding index,Length
0.6,1.5,0.9709505944546686,2.5073801024236357,0.2857142857142857,0.0,0.42857142857142855,0.0,9.269257140521837,15
0.5454545454545454,1.2,1.9808259362290785,5.312826114940558,0.3333333333333333,0.18181818181818182,0.2777777777777778,0.18181818181818182,15.145189845363936,55
0.5,1.4761904761904763,1.9720476472177908,5.198562939644917,0.43137254901960786,0.1923076923076923,0.3137254901960784,0.07692307692307693,13.18425893635097,52
0.5535714285714286,1.0740740740740742,1.9749892596814678,5.34748009475606,0.3090909090909091,0.17857142857142858,0.32727272727272727,0.21428571428571427,15.69627994266654,56
0.5952380952380952,2.230769230769231,1.8619922492144256,4.612814895472357,0.5121951219512195,0.47619047619047616,0.3902439024390244,0.23809523809523808,13.426471879287153,42
0.4444444444444444,1.131578947368421,1.988303620756901,5.27980792552418,0.3125,0.0,0.25,0.24691358024691357,18.105877552251346,81
0.4716981132075472,1.12,1.9951970278754627,4.990956959576133,0.34615384615384615,0.0,0.3076923076923077,0.3018867924528302,12.530084558383727,53
0.48148148148148145,1.0769230769230769,1.9979334329964376,5.46163739358241,0.3,0.0,0.2625,0.1728395061728395,19.52016009930269,81
0.5679012345679012,1.4545454545454546,1.9478470868911313,5.249550210010721,0.3875,0.4938271604938272,0.3,0.24691358024691357,23.615804697284396,81
0.5,1.162162162162162,1.995485166515309,5.307650135445707,0.2911392405063291,0.125,0.25316455696202533,0.225,20.045240438750557,80
0.5432098765432098,0.9285714285714286,1.987760413427597,5.079362318389755,0.2375,0.0,0.25,0.345679012345679,22.13545333095514,81
0.5609756097560976,0.9069767441860465,1.987502167008179,5.271439344671015,0.2345679012345679,0.0,0.2716049382716049,0.17073170731707318,23.14461720795372,82
0.5185185185185185,0.9285714285714286,1.9924373927729693,5.290627583401057,0.225,0.0,0.225,0.2716049382716049,21.079698199123058,81
0.4567901234567901,0.975609756097561,1.9891945446863777,5.239994672008651,0.2625,0.0,0.2625,0.32098765432098764,18.600484049361537,81
0.44594594594594594,1.2424242424242424,1.9529755037305787,5.384795487373137,0.3287671232876712,0.27027027027027023,0.3424657534246575,0.32432432432432434,16.897284702075705,74
0.5057471264367817,0.851063829787234,1.9834160034281603,5.411814612379216,0.23255813953488372,0.3448275862068966,0.26744186046511625,0.3448275862068966,22.183938084603447,87
0.55,1.0,1.9854752972273344,4.807009421281391,0.1794871794871795,0.0,0.10256410256410256,0.2,11.08046468785471,40
0.48936170212765956,1.0434782608695652,1.9990337483552756,5.502764097380546,0.25806451612903225,0.3191489361702127,0.22580645161290322,0.1702127659574468,23.01110575383791,94
0.6756756756756757,0.6086956521739131,1.8407796026840577,4.493149802473812,0.1388888888888889,0.27027027027027023,0.3611111111111111,0.5405405405405406,13.58119482764393,37
0.48717948717948717,0.7727272727272727,1.9647405072701494,5.356158598827569,0.2077922077922078,0.0,0.24675324675324675,0.2564102564102564,19.34096666629594,78
0.47435897435897434,0.56,1.8713176317549336,5.084721881944796,0.15584415584415584,0.0,0.24675324675324675,0.2564102564102564,19.772153909086654,78
0.46835443037974683,0.8809523809523809,1.9909200186193574,5.390036215963385,0.21794871794871795,0.0,0.21794871794871795,0.379746835443038,18.584363545299436,79
0.5189873417721519,0.5490196078431373,1.936478055949274,5.266532644478619,0.10256410256410256,0.12658227848101264,0.21794871794871795,0.35443037974683544,21.172446907721163,79
0.5569620253164557,0.7954545454545454,1.980748055177989,5.401472378576843,0.19230769230769232,0.2531645569620253,0.20512820512820512,0.3291139240506329,22.213818497086795,79
0.5689655172413793,1.0,1.9853579839940576,5.159771663013133,0.2807017543859649,0.1724137931034483,0.24561403508771928,0.1724137931034483,16.62167913513155,58
0.5466666666666666,1.34375,1.9351435459225075,5.1652493873804115,0.2972972972972973,0.4,0.20270270270270271,0.21333333333333335,21.18704780290962,75
0.5333333333333333,1.2727272727272727,1.8935065757016862,5.03361047677169,0.28378378378378377,0.4,0.22972972972972974,0.13333333333333333,21.12481645877599,75
0.5517241379310345,1.9,1.822744329723164,4.236368983644951,0.42857142857142855,0.3448275862068966,0.2857142857142857,0.41379310344827586,8.777967903190326,29
0.5185185185185185,2.0,1.785227892260356,4.163856189774725,0.4230769230769231,0.37037037037037035,0.3076923076923077,0.37037037037037035,7.842131650846179,27
0.6551724137931034,1.9,1.750631548973961,3.8100810205217304,0.42857142857142855,0.6896551724137931,0.35714285714285715,0.27586206896551724,10.853219889654072,29
0.6296296296296297,2.0,1.7338641164117328,3.623465189601646,0.4230769230769231,0.7407407407407407,0.38461538461538464,0.2222222222222222,9.804684250861351,27
0.6052631578947368,1.5333333333333334,1.8522500575780474,4.474937501201927,0.3783783783783784,0.5263157894736842,0.32432432432432434,0.2631578947368421,12.417323184079684,38
0.6206896551724138,1.6363636363636365,1.7905860515686174,4.1804513908921015,0.39285714285714285,0.6896551724137931,0.32142857142857145,0.3448275862068966,10.052569063442833,29
0.6666666666666666,1.7,1.7338641164117328,4.023465189601647,0.38461538461538464,0.7407407407407407,0.34615384615384615,0.2962962962962963,10.381430383264961,27
